host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
533936,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,0.0,1,47
534128,Chamberí,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,0.08,12,321
534515,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,0.17,1,272
361930,Chamberí,Almagro,40.43761,-3.69802,Entire home/apt,75,2,167,1.67,4,0
564773,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,0.7,1,339
574498,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,0.71,1,110
361930,Chamberí,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,103,1.06,4,287
557423,Centro,Embajadores,40.40743,-3.69828,Entire home/apt,57,3,431,4.26,1,0
378073,Centro,Palacio,40.40958,-3.71042,Entire home/apt,85,3,71,0.74,9,322
605612,Centro,Palacio,40.41112,-3.71025,Private room,35,1,183,1.86,6,356
606925,Centro,Universidad,40.42381,-3.70571,Private room,29,1,218,2.15,3,230
605612,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,67,1,509,5.09,6,143
632589,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,69,0.81,1,225
650803,Centro,Embajadores,40.41034,-3.69836,Private room,26,3,81,2.9,1,351
666482,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,0.72,1,170
723539,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,22,0.54,9,61
739627,Hortaleza,Pinar del Rey,40.47851,-3.64418,Private room,40,1,4,1.17,1,338
740087,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,82,0.98,8,133
780107,Chamberí,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,0.08,1,270
796746,Hortaleza,Piovera,40.45386,-3.64743,Private room,45,1,17,0.19,2,356
805726,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,0.64,5,231
814490,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,1.98,3,248
816497,Centro,Palacio,40.41607,-3.71101,Entire home/apt,150,3,4,0.04,2,337
845399,Centro,Universidad,40.4215,-3.70345,Private room,60,1,41,0.47,10,168
845399,Centro,Universidad,40.42342,-3.70487,Private room,60,1,193,2.08,10,166
596469,Centro,Universidad,40.42762,-3.70323,Hotel room,80,5,24,0.27,30,355
596469,Centro,Universidad,40.42902,-3.70398,Hotel room,80,5,11,0.11,30,358
850654,Centro,Universidad,40.42623,-3.70462,Private room,19,2,93,0.99,4,348
877571,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,0.08,5,0
877571,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,0.17,5,0
877571,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,0.43,5,0
877571,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,0.0,5,0
927343,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,210,2.16,3,275
852616,Centro,Palacio,40.41088,-3.71098,Entire home/apt,77,3,253,2.58,2,81
967721,Centro,Universidad,40.42538,-3.70505,Private room,25,1,24,0.46,2,271
749212,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,141,1.44,1,305
75944,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,0.0,1,119
606925,Centro,Universidad,40.42384,-3.70686,Private room,40,1,43,0.44,3,324
1004721,Centro,Cortes,40.41476,-3.69531,Entire home/apt,140,7,97,1.0,1,288
1008659,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,265,2.71,2,289
124972,Moncloa - Aravaca,Argüelles,40.42973,-3.72118,Private room,50,10,6,0.07,4,350
1031664,Centro,Embajadores,40.41273,-3.70324,Private room,30,25,33,0.35,1,181
669927,Carabanchel,Puerta Bonita,40.37987,-3.73215,Entire home/apt,95,2,175,1.81,1,184
1090760,Hortaleza,Canillas,40.45856,-3.64811,Private room,55,2,100,1.04,1,310
927343,Centro,Justicia,40.42333,-3.69705,Entire home/apt,95,4,151,1.57,3,287
1732442,Centro,Sol,40.41601,-3.70853,Entire home/apt,145,3,195,2.04,9,339
499977,Centro,Universidad,40.42348,-3.70336,Private room,29,1,166,1.72,3,329
1168897,Centro,Embajadores,40.40916,-3.70799,Entire home/apt,75,365,8,0.09,1,365
1174648,Centro,Cortes,40.41518,-3.6998,Private room,30,2,141,1.5,1,259
1172225,Chamberí,Arapiles,40.43423,-3.70703,Private room,25,4,57,0.68,3,264
1130651,Centro,Embajadores,40.40881,-3.70092,Entire home/apt,55,2,462,4.78,2,335
1212528,Chamberí,Trafalgar,40.43684,-3.70225,Private room,30,1,0,0.0,1,88
630482,Carabanchel,San Isidro,40.39376,-3.72483,Private room,25,5,77,0.8,2,230
1732442,Centro,Sol,40.41523,-3.7065,Entire home/apt,80,2,135,1.48,9,332
1351231,Latina,Aluche,40.38574,-3.75062,Entire home/apt,98,6,47,0.5,1,90
814490,Centro,Universidad,40.42586,-3.71049,Entire home/apt,50,15,86,0.98,3,327
1367452,Centro,Embajadores,40.40814,-3.70171,Entire home/apt,83,5,35,0.38,1,292
1351865,Hortaleza,Valdefuentes,40.47088,-3.62866,Entire home/apt,145,2,120,1.33,4,326
1373873,Centro,Universidad,40.42325,-3.70183,Entire home/apt,74,1,445,4.66,1,58
1374415,Tetuán,Berruguete,40.45509,-3.70286,Private room,28,1,31,0.32,1,80
1351865,Hortaleza,Valdefuentes,40.47198,-3.62952,Entire home/apt,66,2,96,1.1,4,332
1370007,Centro,Universidad,40.4262,-3.70319,Entire home/apt,480,2,16,0.17,1,342
1406073,Centro,Embajadores,40.41236,-3.70284,Entire home/apt,75,2,58,0.62,1,312
596469,Centro,Universidad,40.42419,-3.70835,Hotel room,90,5,28,0.37,30,330
1466005,Centro,Palacio,40.41635,-3.70986,Entire home/apt,72,2,84,2.3,1,341
740087,Centro,Cortes,40.41365,-3.70072,Entire home/apt,59,3,35,0.45,8,136
740087,Centro,Cortes,40.41454,-3.70121,Entire home/apt,59,3,62,0.68,8,121
1473247,Salamanca,Recoletos,40.42688,-3.6852,Entire home/apt,169,2,94,1.05,1,331
1478367,Centro,Sol,40.4179,-3.70819,Entire home/apt,85,1,26,0.52,1,87
1496188,Centro,Universidad,40.42555,-3.71087,Private room,30,1,11,0.12,2,0
901218,Centro,Cortes,40.4176,-3.69808,Private room,58,3,167,2.27,25,0
805726,Latina,Puerta del Angel,40.41136,-3.72456,Private room,20,2,33,0.36,5,322
1522694,Centro,Justicia,40.42283,-3.70064,Private room,60,2,16,0.29,4,342
1522694,Centro,Justicia,40.42203,-3.69898,Private room,43,4,51,0.55,4,356
845399,Centro,Universidad,40.42288,-3.7034,Private room,60,1,10,0.11,10,169
4677030,Centro,Cortes,40.41472,-3.69533,Entire home/apt,110,3,38,0.85,13,74
1596220,Centro,Embajadores,40.40779,-3.69614,Entire home/apt,80,3,90,1.05,1,318
1598163,Centro,Universidad,40.42248,-3.70891,Entire home/apt,68,3,298,3.2,1,31
1095831,Centro,Universidad,40.42579,-3.70526,Entire home/apt,155,3,194,2.13,4,330
1636378,Latina,Aluche,40.39382,-3.75871,Entire home/apt,90,6,13,0.14,1,297
1650712,Centro,Embajadores,40.4112,-3.70741,Entire home/apt,116,2,28,0.41,26,318
740087,Centro,Cortes,40.41433,-3.70123,Entire home/apt,59,3,55,0.64,8,125
1702905,Centro,Embajadores,40.41059,-3.7034,Entire home/apt,75,3,221,2.54,1,320
1716726,Arganzuela,Delicias,40.39548,-3.69392,Entire home/apt,115,2,42,1.94,5,55
1713427,Centro,Justicia,40.42295,-3.69552,Entire home/apt,63,5,42,0.46,1,229
1713524,Centro,Sol,40.41452,-3.70774,Private room,100,2,105,1.17,2,0
1714541,Retiro,Pacífico,40.4065,-3.67233,Private room,24,2,164,1.91,9,116
1714866,Chamartín,Ciudad Jardín,40.44859,-3.67746,Private room,35,2,7,0.08,1,0
1721158,Centro,Universidad,40.42836,-3.7056,Entire home/apt,63,15,124,1.37,2,221
1722284,Centro,Cortes,40.41281,-3.6956,Entire home/apt,82,3,146,1.62,2,191
1721232,Latina,Puerta del Angel,40.40713,-3.73971,Private room,22,2,103,2.39,1,161
1694537,Centro,Embajadores,40.41047,-3.70207,Entire home/apt,55,3,164,1.79,1,178
1703448,Centro,Embajadores,40.40872,-3.69919,Entire home/apt,79,3,31,0.35,2,270
1738288,Chamartín,Ciudad Jardín,40.44931,-3.67424,Private room,75,2,52,0.72,1,361
1738846,Arganzuela,Palos de Moguer,40.40522,-3.69454,Entire home/apt,65,3,30,0.36,1,137
740087,Centro,Cortes,40.4144,-3.70126,Entire home/apt,59,3,99,1.11,8,134
1095831,Centro,Universidad,40.42371,-3.70393,Entire home/apt,81,3,4,0.05,4,333
1095831,Centro,Universidad,40.4238,-3.70467,Private room,70,3,4,0.07,4,333
1095831,Centro,Universidad,40.42359,-3.70396,Private room,70,3,4,0.06,4,333
1751133,Tetuán,Almenara,40.47293,-3.68945,Entire home/apt,130,2,27,0.34,2,311
1751133,Salamanca,Guindalera,40.4302,-3.66484,Entire home/apt,135,2,42,0.47,2,295
1791341,Centro,Palacio,40.41935,-3.71162,Private room,52,4,305,5.0,2,212
1791341,Centro,Universidad,40.42723,-3.70959,Entire home/apt,77,15,128,2.61,2,251
1496188,Centro,Universidad,40.42479,-3.70896,Entire home/apt,70,20,38,0.42,2,0
1729503,Retiro,Niño Jesús,40.40976,-3.67544,Entire home/apt,100,2,149,1.64,3,29
1836617,Centro,Sol,40.4175,-3.70676,Private room,49,2,364,4.02,1,317
1868359,Centro,Embajadores,40.41177,-3.69985,Entire home/apt,70,2,156,1.72,1,109
1714541,Retiro,Pacífico,40.40573,-3.67396,Private room,22,2,55,0.62,9,127
1888816,Arganzuela,Acacias,40.40266,-3.70374,Private room,24,6,137,1.59,4,227
1892467,Centro,Embajadores,40.40995,-3.6971,Entire home/apt,50,3,17,0.24,3,211
1895571,Salamanca,Fuente del Berro,40.42258,-3.66275,Private room,30,2,30,0.42,2,0
1902834,Arganzuela,Palos de Moguer,40.40442,-3.69256,Entire home/apt,70,5,28,0.31,1,140
1981346,Centro,Universidad,40.42182,-3.70389,Entire home/apt,105,2,114,1.27,1,234
1408525,Centro,Sol,40.41456,-3.70437,Entire home/apt,77,3,30,0.39,56,318
1408525,Arganzuela,Palos de Moguer,40.40642,-3.6951,Entire home/apt,66,3,32,0.39,56,274
1893660,Retiro,Estrella,40.40782,-3.66904,Private room,24,7,137,1.55,1,114
1408525,Centro,Sol,40.41596,-3.70302,Entire home/apt,82,3,127,1.6,56,300
1408525,Centro,Universidad,40.42342,-3.70454,Entire home/apt,88,3,39,0.7,56,341
1408525,Centro,Palacio,40.41043,-3.70944,Entire home/apt,85,5,11,0.17,56,0
2024487,Salamanca,Goya,40.42823,-3.67776,Private room,24,3,114,1.26,1,237
1973909,Centro,Cortes,40.41262,-3.69882,Entire home/apt,56,2,383,4.23,1,0
2044655,Centro,Sol,40.41736,-3.70012,Entire home/apt,155,3,139,1.54,6,160
2056009,Chamartín,Hispanoamérica,40.45337,-3.67086,Private room,48,2,96,1.07,1,345
1408525,Centro,Palacio,40.41282,-3.70749,Entire home/apt,66,3,27,0.32,56,328
2068619,Centro,Embajadores,40.40781,-3.70245,Entire home/apt,75,2,153,1.69,1,0
9934732,Centro,Universidad,40.42602,-3.70502,Entire home/apt,38,1,582,6.55,5,270
1719263,Centro,Justicia,40.42638,-3.69957,Entire home/apt,100,5,2,0.02,2,240
2107994,Centro,Justicia,40.42146,-3.69941,Private room,43,3,13,0.15,1,361
2111994,Tetuán,Cuatro Caminos,40.45483,-3.69994,Private room,40,7,4,0.06,2,323
2124765,Chamberí,Trafalgar,40.4313,-3.70177,Entire home/apt,200,1,4,0.05,1,287
2134007,Centro,Universidad,40.42961,-3.70851,Entire home/apt,120,3,173,1.96,1,274
1450430,Tetuán,Bellas Vistas,40.44798,-3.70589,Entire home/apt,80,5,23,0.26,1,323
2146727,Moncloa - Aravaca,Casa de Campo,40.42934,-3.72229,Private room,35,55,100,1.12,3,274
1408525,Centro,Universidad,40.42066,-3.70494,Entire home/apt,90,3,23,0.3,56,319
2160658,Centro,Palacio,40.41257,-3.70872,Private room,25,2,190,2.15,1,322
805726,Latina,Puerta del Angel,40.41155,-3.72371,Private room,25,6,8,0.1,5,322
2184051,Centro,Universidad,40.42353,-3.70308,Entire home/apt,70,1,501,5.57,4,282
1280726,Chamberí,Trafalgar,40.42897,-3.69711,Entire home/apt,30,3,7,0.08,1,0
2201302,Centro,Justicia,40.42414,-3.69764,Entire home/apt,85,2,14,0.16,1,219
2230279,Chamberí,Trafalgar,40.42976,-3.70259,Entire home/apt,48,3,264,2.96,1,161
814490,Centro,Universidad,40.42595,-3.71,Entire home/apt,55,4,87,0.97,3,0
617086,Carabanchel,Comillas,40.3909,-3.71202,Private room,30,2,4,0.15,1,79
1408525,Centro,Universidad,40.42524,-3.70504,Entire home/apt,81,3,14,0.24,56,315
1408525,Centro,Sol,40.41661,-3.70282,Entire home/apt,82,3,28,0.46,56,323
2296476,Centro,Embajadores,40.40817,-3.7102,Entire home/apt,112,2,53,0.6,1,198
2302267,Centro,Palacio,40.41378,-3.71253,Entire home/apt,75,3,11,0.23,1,254
2307294,Centro,Universidad,40.42204,-3.70481,Entire home/apt,85,3,60,0.67,1,261
2320165,Chamberí,Almagro,40.42744,-3.695,Entire home/apt,90,2,27,0.31,1,150
2322563,Centro,Justicia,40.42142,-3.70102,Entire home/apt,59,4,243,2.73,1,312
1408525,Centro,Sol,40.41917,-3.70624,Entire home/apt,75,3,45,0.73,56,328
2332600,Centro,Embajadores,40.40909,-3.70045,Entire home/apt,83,2,38,0.43,1,218
1408525,Centro,Universidad,40.42408,-3.7038,Entire home/apt,81,3,34,0.57,56,337
1408525,Centro,Sol,40.41588,-3.702,Entire home/apt,82,4,19,0.22,56,300
1408525,Centro,Sol,40.41644,-3.70222,Entire home/apt,82,3,130,1.54,56,312
1408525,Centro,Embajadores,40.40671,-3.69777,Entire home/apt,83,3,15,0.2,56,28
2367126,Centro,Palacio,40.41961,-3.70965,Private room,50,3,18,0.21,1,217
2376101,Centro,Universidad,40.42708,-3.70967,Entire home/apt,85,4,7,0.08,3,318
2376402,San Blas - Canillejas,Rosas,40.43004,-3.6038,Entire home/apt,350,3,14,0.16,1,88
1408525,Chamberí,Trafalgar,40.43083,-3.70133,Entire home/apt,88,5,8,0.13,56,333
2391244,Hortaleza,Palomas,40.4509,-3.61261,Private room,60,1,60,0.79,2,39
2417075,Chamberí,Trafalgar,40.42859,-3.69859,Entire home/apt,85,1,324,3.67,4,325
2419064,Moncloa - Aravaca,Argüelles,40.42466,-3.71361,Entire home/apt,190,2,27,0.31,2,0
2433045,Centro,Palacio,40.4121,-3.70872,Entire home/apt,69,2,189,2.22,1,316
2436735,Centro,Embajadores,40.40659,-3.70684,Entire home/apt,50,4,201,2.28,1,5
2456671,Retiro,Jerónimos,40.40745,-3.68286,Entire home/apt,60,1,192,2.24,4,232
2467212,Centro,Embajadores,40.41256,-3.70116,Entire home/apt,97,4,143,1.75,1,241
2470700,Retiro,Niño Jesús,40.41115,-3.67109,Entire home/apt,110,4,0,0.0,1,48
2480913,Centro,Cortes,40.41159,-3.69356,Private room,45,3,73,1.77,1,279
1932547,Ciudad Lineal,Concepción,40.44164,-3.649,Entire home/apt,52,1,347,7.89,1,55
2501740,Centro,Universidad,40.42306,-3.70524,Entire home/apt,84,3,22,0.25,3,97
2517520,Centro,Cortes,40.4142,-3.70129,Private room,60,2,4,0.14,1,323
83531,Latina,Cármenes,40.40393,-3.74182,Private room,17,4,27,0.32,2,48
2536524,San Blas - Canillejas,Arcos,40.42181,-3.6123,Private room,25,10,20,0.24,5,342
2538187,Centro,Palacio,40.41327,-3.71071,Entire home/apt,63,2,112,2.55,1,344
2536524,San Blas - Canillejas,Hellín,40.42855,-3.61474,Private room,25,10,15,0.19,5,334
1150912,Centro,Embajadores,40.41117,-3.70399,Private room,40,2,8,0.12,1,230
2561320,Centro,Embajadores,40.41289,-3.70065,Entire home/apt,85,2,58,0.71,9,0
2563986,Chamartín,Hispanoamérica,40.45783,-3.68791,Private room,30,30,0,0.0,4,261
2564339,Centro,Sol,40.41595,-3.70281,Entire home/apt,67,3,104,1.21,11,133
1652272,Centro,Palacio,40.41041,-3.71092,Entire home/apt,75,2,79,1.3,2,333
2576044,Centro,Embajadores,40.41273,-3.70154,Private room,65,2,350,4.13,1,313
2249249,Retiro,Pacífico,40.40495,-3.6749,Private room,19,2,1,0.01,1,0
1134989,Centro,Sol,40.41702,-3.70744,Entire home/apt,39,2,463,5.24,1,328
2613319,Centro,Universidad,40.42216,-3.70123,Private room,34,2,483,5.68,1,106
2569497,Centro,Universidad,40.42323,-3.7065,Entire home/apt,55,2,458,5.23,2,305
2619962,Centro,Cortes,40.41337,-3.70013,Private room,24,1,372,4.25,1,163
2634967,Chamberí,Trafalgar,40.43301,-3.70383,Private room,40,120,0,0.0,2,364
447969,Arganzuela,Delicias,40.39465,-3.69329,Entire home/apt,70,3,3,0.06,1,0
2638528,Arganzuela,Palos de Moguer,40.40119,-3.69141,Private room,22,1,9,0.1,2,31
2659070,Centro,Embajadores,40.41019,-3.70201,Entire home/apt,56,2,224,2.55,3,57
2661721,Ciudad Lineal,Costillares,40.46927,-3.66467,Entire home/apt,300,5,0,0.0,1,0
1284868,Chamartín,Hispanoamérica,40.45762,-3.67669,Private room,23,2,34,0.44,2,201
2680319,Chamberí,Gaztambide,40.43533,-3.7128,Entire home/apt,40,1,4,0.06,1,0
2709614,Moncloa - Aravaca,Argüelles,40.42599,-3.71691,Private room,38,3,60,0.72,1,323
2673517,Retiro,Ibiza,40.41813,-3.67742,Entire home/apt,90,5,134,1.59,1,133
1091014,Centro,Cortes,40.41451,-3.70359,Entire home/apt,99,3,34,0.4,4,335
2702003,Villa de Vallecas,Casco Histórico de Vallecas,40.37081,-3.61397,Private room,50,7,1,0.02,1,89
2659765,Centro,Embajadores,40.40818,-3.70351,Entire home/apt,65,30,216,2.49,1,0
2713304,Centro,Cortes,40.41411,-3.6981,Private room,30,2,238,2.71,1,324
2727360,Salamanca,Recoletos,40.42718,-3.68662,Private room,33,3,2,0.04,1,349
2740430,Centro,Embajadores,40.40808,-3.71001,Private room,35,1,1,0.36,1,362
2747005,Salamanca,Goya,40.42331,-3.66955,Entire home/apt,105,5,64,0.88,3,204
596469,Salamanca,Recoletos,40.42314,-3.68952,Hotel room,100,5,23,0.32,30,311
2779192,Centro,Embajadores,40.40762,-3.6994,Entire home/apt,57,2,157,2.48,1,156
2785251,Centro,Embajadores,40.40748,-3.69762,Entire home/apt,50,180,30,0.35,2,183
2795931,Latina,Puerta del Angel,40.40986,-3.72869,Private room,20,2,195,2.37,1,1
2347489,Chamberí,Rios Rosas,40.4455,-3.70382,Private room,22,2,27,0.32,1,321
1689652,Centro,Universidad,40.42763,-3.70498,Private room,30,3,0,0.0,1,0
2312712,Barajas,Casco Histórico de Barajas,40.4739,-3.57699,Entire home/apt,78,1,361,4.27,1,127
2847013,Centro,Universidad,40.42535,-3.70751,Entire home/apt,95,2,318,3.66,5,312
2847360,Chamberí,Trafalgar,40.43186,-3.70346,Entire home/apt,60,366,102,1.21,1,90
2857508,Centro,Cortes,40.41361,-3.69715,Entire home/apt,67,2,225,5.75,1,215
2864064,Centro,Embajadores,40.4094,-3.70203,Entire home/apt,33,1,323,3.72,23,92
2566589,Moncloa - Aravaca,Casa de Campo,40.4246,-3.72876,Entire home/apt,85,30,30,0.42,1,61
2902269,Centro,Embajadores,40.41169,-3.70166,Entire home/apt,190,2,5,0.07,1,0
2267893,Centro,Palacio,40.41601,-3.71011,Entire home/apt,165,4,53,0.88,1,171
2913511,Usera,San Fermín,40.36701,-3.68667,Private room,30,7,53,0.62,2,160
153391,Centro,Sol,40.41871,-3.70607,Entire home/apt,105,1,378,4.46,6,3
2940355,Carabanchel,Comillas,40.39729,-3.71447,Private room,24,2,19,0.22,1,264
2952250,Retiro,Jerónimos,40.41876,-3.68852,Entire home/apt,155,2,114,1.45,2,78
2678039,Arganzuela,Palos de Moguer,40.40588,-3.69631,Entire home/apt,85,3,69,0.92,1,0
1567773,Centro,Sol,40.41432,-3.70656,Private room,30,30,7,0.08,1,90
2960080,Centro,Universidad,40.42469,-3.7088,Entire home/apt,37,2,370,4.28,9,30
2184051,Centro,Justicia,40.4201,-3.70105,Entire home/apt,75,1,455,5.32,4,316
2376101,Centro,Universidad,40.42575,-3.70844,Entire home/apt,85,4,3,0.07,3,300
2990747,Salamanca,Castellana,40.4314,-3.68543,Entire home/apt,110,6,2,0.03,1,48
2991670,Salamanca,Guindalera,40.43547,-3.66974,Private room,19,1,52,0.73,11,234
2993477,Tetuán,Berruguete,40.45721,-3.70383,Private room,29,1,36,0.68,3,266
2783896,Latina,Lucero,40.40883,-3.74118,Private room,19,3,147,1.72,2,55
2999728,Arganzuela,Palos de Moguer,40.40402,-3.69002,Entire home/apt,25,7,11,0.13,1,0
2581715,Moncloa - Aravaca,Aravaca,40.45121,-3.78515,Private room,24,2,11,1.16,1,49
3010452,Puente de Vallecas,Palomeras Bajas,40.39224,-3.66378,Private room,45,2,3,0.04,1,0
3017315,Centro,Palacio,40.41706,-3.70948,Entire home/apt,65,3,413,4.76,5,39
2174652,Centro,Sol,40.41794,-3.70126,Entire home/apt,70,3,7,0.08,1,0
3053021,Chamartín,Prosperidad,40.44098,-3.67715,Private room,23,1,74,0.87,1,0
3062041,Villa de Vallecas,Santa Eugenia,40.38263,-3.61486,Entire home/apt,60,3,97,1.13,1,96
3017315,Centro,Palacio,40.41715,-3.71054,Entire home/apt,70,3,267,3.13,5,30
2773350,Arganzuela,Acacias,40.40415,-3.70411,Entire home/apt,60,2,25,0.33,1,0
2634967,Chamberí,Trafalgar,40.43322,-3.70364,Private room,50,120,4,0.14,2,270
3117754,Chamberí,Trafalgar,40.43086,-3.7027,Entire home/apt,140,2,184,2.15,3,271
3121587,Centro,Sol,40.41653,-3.70308,Entire home/apt,250,1,64,0.75,4,0
3141727,Chamartín,Castilla,40.47267,-3.67553,Entire home/apt,75,3,1,0.01,1,0
3214130,Centro,Universidad,40.4232,-3.70441,Private room,45,4,40,0.48,3,17
368907,Chamberí,Rios Rosas,40.44153,-3.69457,Entire home/apt,197,3,27,0.36,2,132
3290138,Centro,Embajadores,40.41383,-3.70515,Private room,20,3,53,0.73,2,0
2991670,Salamanca,Guindalera,40.43545,-3.67156,Private room,16,1,44,0.51,11,312
2991670,Salamanca,Guindalera,40.43404,-3.67119,Private room,22,4,45,0.53,11,201
3226403,Ciudad Lineal,Pueblo Nuevo,40.4246,-3.63936,Private room,25,7,0,0.0,2,292
3235676,Centro,Palacio,40.42084,-3.71247,Private room,70,3,99,1.17,1,176
3244793,Arganzuela,Legazpi,40.38994,-3.69309,Entire home/apt,39,3,311,3.68,1,269
1091014,Centro,Embajadores,40.41291,-3.70686,Entire home/apt,125,3,11,0.14,4,350
3249358,Chamberí,Gaztambide,40.43308,-3.71233,Private room,40,1,53,0.78,1,55
3226403,Ciudad Lineal,Pueblo Nuevo,40.42474,-3.64048,Private room,30,1,0,0.0,2,322
1375487,Centro,Embajadores,40.40863,-3.7042,Entire home/apt,65,5,24,0.28,1,294
3329487,Retiro,Pacífico,40.40416,-3.68172,Private room,29,14,5,0.12,2,283
845399,Centro,Universidad,40.42274,-3.70298,Private room,30,1,85,1.0,10,165
3352121,Villa de Vallecas,Casco Histórico de Vallecas,40.37254,-3.62278,Private room,22,1,4,0.08,1,0
3385307,Chamberí,Trafalgar,40.43143,-3.70215,Private room,45,4,78,1.07,2,323
3432379,Centro,Cortes,40.415,-3.69808,Entire home/apt,80,3,9,0.11,1,329
3317937,Retiro,Pacífico,40.40392,-3.68147,Entire home/apt,75,3,87,1.06,1,230
2417075,Chamberí,Trafalgar,40.43302,-3.70336,Entire home/apt,149,1,304,3.71,4,308
3466426,Centro,Universidad,40.42242,-3.7059,Private room,45,3,7,0.09,1,271
3469687,Moncloa - Aravaca,Argüelles,40.4292,-3.71778,Entire home/apt,80,2,20,0.24,1,0
9228673,Salamanca,Lista,40.43302,-3.67725,Entire home/apt,210,5,51,0.62,17,271
3483233,Puente de Vallecas,Numancia,40.3973,-3.66253,Private room,25,2,5,0.3,3,292
3487329,Carabanchel,Puerta Bonita,40.37754,-3.74276,Entire home/apt,20,1,1,0.02,1,0
1941314,Centro,Palacio,40.41853,-3.70927,Entire home/apt,108,2,134,1.84,1,182
3494012,Hortaleza,Pinar del Rey,40.46776,-3.65147,Entire home/apt,155,2,61,1.43,5,312
3508577,Hortaleza,Valdefuentes,40.49129,-3.64937,Private room,40,1,12,0.22,1,363
1732442,Centro,Sol,40.41703,-3.70656,Entire home/apt,75,2,109,1.32,9,337
3357259,Ciudad Lineal,Costillares,40.47546,-3.67267,Private room,40,1,15,0.18,1,190
